trigger_code,trigger_name,onset_time,trial_number,condition,word,response,rt
3,COND2_LABEL,0.01783142497879453,1,2,,,
5,COND2_WORD,1.7074250049772672,1,2,bottle,,
7,RESP_N,3.01326925700414,1,2,bottle,n,1.3058044190111104
1,FIXATION,3.022763460990973,1,2,bottle,n,1.3058044190111104
3,COND2_LABEL,6.034963276004419,2,2,,,
5,COND2_WORD,7.546764640981564,2,2,crow,,
6,RESP_Y,9.003809929999989,2,2,crow,y,1.4571449990035035
1,FIXATION,9.01574821799295,2,2,crow,y,1.4571449990035035
2,COND1_LABEL,12.031913020997308,3,1,,,
4,COND1_WORD,13.551116638001986,3,1,map,,
6,RESP_Y,17.76574025300215,3,1,map,y,4.2146249169891234
1,FIXATION,17.77450444200076,3,1,map,y,4.2146249169891234
3,COND2_LABEL,20.788781937997555,4,2,,,
5,COND2_WORD,22.30047034099698,4,2,dolphin,,
6,RESP_Y,23.301979048992507,4,2,dolphin,y,1.001605458004633
1,FIXATION,23.310420258989325,4,2,dolphin,y,1.001605458004633
2,COND1_LABEL,26.323015903995838,5,1,,,
4,COND1_WORD,27.837761251983466,5,1,shark,,
6,RESP_Y,28.40781017698464,5,1,shark,y,0.5706128719903063
1,FIXATION,28.41604862897657,5,1,shark,y,0.5706128719903063
2,COND1_LABEL,31.42822184698889,6,1,,,
4,COND1_WORD,32.94168153099599,6,1,backpack,,
6,RESP_Y,34.27789394799038,6,1,backpack,y,1.3362155499926303
1,FIXATION,34.28661338597885,6,1,backpack,y,1.3362155499926303
3,COND2_LABEL,37.3004237569985,7,2,,,
5,COND2_WORD,38.816869974980364,7,2,gibbon,,
6,RESP_Y,39.75159670098219,7,2,gibbon,y,0.9347206209786236
1,FIXATION,39.75721381598851,7,2,gibbon,y,0.9347206209786236
2,COND1_LABEL,42.76954965398181,8,1,,,
4,COND1_WORD,44.282910501991864,8,1,water,,
6,RESP_Y,44.87667682400206,8,1,water,y,0.5937281869992148
1,FIXATION,44.885094139986904,8,1,water,y,0.5937281869992148
2,COND1_LABEL,47.899694784980966,9,1,,,
4,COND1_WORD,49.416111006983556,9,1,wallet,,
6,RESP_Y,50.39158739699633,9,1,wallet,y,0.975476758001605
1,FIXATION,50.39995459700003,9,1,wallet,y,0.975476758001605
3,COND2_LABEL,53.41577395499917,10,2,,,
5,COND2_WORD,54.9336119859945,10,2,ivy,,
7,RESP_N,56.96825592400273,10,2,ivy,n,2.034636563999811
1,FIXATION,56.97673200099962,10,2,ivy,n,2.034636563999811
2,COND1_LABEL,59.989320391003275,11,1,,,
4,COND1_WORD,61.50853202998405,11,1,camel,,
6,RESP_Y,62.177359303983394,11,1,camel,y,0.6688287340220995
1,FIXATION,62.185667318000924,11,1,camel,y,0.6688287340220995
2,COND1_LABEL,65.19880661999923,12,1,,,
4,COND1_WORD,66.71496261897846,12,1,lamp,,
6,RESP_Y,67.29981047997717,12,1,lamp,y,0.5848395740031265
1,FIXATION,67.30561916797888,12,1,lamp,y,0.5848395740031265
3,COND2_LABEL,70.31868748599663,13,2,,,
5,COND2_WORD,71.83316787000513,13,2,chimney,,
7,RESP_N,75.92571449599927,13,2,chimney,n,4.09253661200637
1,FIXATION,75.9353089229844,13,2,chimney,n,4.09253661200637
3,COND2_LABEL,78.94822156699956,14,2,,,
5,COND2_WORD,80.46651323098922,14,2,mosquito,,
6,RESP_Y,81.10388708399842,14,2,mosquito,y,0.6378451380005572
1,FIXATION,81.1159244349983,14,2,mosquito,y,0.6378451380005572
3,COND2_LABEL,84.13141357098357,15,2,,,
5,COND2_WORD,85.64843089698115,15,2,robin,,
6,RESP_Y,87.39403488198877,15,2,robin,y,1.7456117179826833
1,FIXATION,87.40249904498341,15,2,robin,y,1.7456117179826833
2,COND1_LABEL,90.41506715200376,16,1,,,
4,COND1_WORD,91.93930628299131,16,1,hyena,,
6,RESP_Y,92.60980769598973,16,1,hyena,y,0.6704997880151495
1,FIXATION,92.61909193298197,16,1,hyena,y,0.6704997880151495
2,COND1_LABEL,95.63153969999985,17,1,,,
4,COND1_WORD,97.14688089399715,17,1,puma,,
6,RESP_Y,97.75446345398086,17,1,puma,y,0.6075870500062592
1,FIXATION,97.7664390860009,17,1,puma,y,0.6075870500062592
3,COND2_LABEL,100.78340677300002,18,2,,,
5,COND2_WORD,102.29666698299116,18,2,drill,,
7,RESP_N,103.21724167698994,18,2,drill,n,0.9205674179829657
1,FIXATION,103.22574793698732,18,2,drill,n,0.9205674179829657
3,COND2_LABEL,106.23746227499214,19,2,,,
5,COND2_WORD,107.75137044099392,19,2,owl,,
6,RESP_Y,108.72747460199753,19,2,owl,y,0.9760942430002615
1,FIXATION,108.73324719100492,19,2,owl,y,0.9760942430002615
3,COND2_LABEL,111.7507464090013,20,2,,,
5,COND2_WORD,113.26445179598522,20,2,dog,,
6,RESP_Y,114.5310730249912,20,2,dog,y,1.2666173540055752
1,FIXATION,114.53949876598199,20,2,dog,y,1.2666173540055752
3,COND2_LABEL,117.55239592498401,21,2,,,
5,COND2_WORD,119.06489556099405,21,2,bell,,
7,RESP_N,120.31496210000478,21,2,bell,n,1.2500745430006646
1,FIXATION,120.3236337879789,21,2,bell,n,1.2500745430006646
3,COND2_LABEL,123.3408086480049,22,2,,,
5,COND2_WORD,124.85411140898941,22,2,octopus,,
6,RESP_Y,125.92259958098293,22,2,octopus,y,1.0684806679782923
1,FIXATION,125.9312444459938,22,2,octopus,y,1.0684806679782923
3,COND2_LABEL,128.94836205698084,23,2,,,
5,COND2_WORD,130.46355832999689,23,2,rose,,
7,RESP_N,131.00101302898838,23,2,rose,n,0.5374575289897621
1,FIXATION,131.01249152500532,23,2,rose,n,0.5374575289897621
2,COND1_LABEL,134.03372290998232,24,1,,,
4,COND1_WORD,135.54867008698056,24,1,guitar,,
6,RESP_Y,137.38009527599206,24,1,guitar,y,1.8314334559836425
1,FIXATION,137.3885486839863,24,1,guitar,y,1.8314334559836425
2,COND1_LABEL,140.4009063039848,25,1,,,
4,COND1_WORD,141.91382291697664,25,1,curtain,,
6,RESP_Y,142.5434616220009,25,1,curtain,y,0.6296332039928529
1,FIXATION,142.54893671299214,25,1,curtain,y,0.6296332039928529
2,COND1_LABEL,145.5680242170056,26,1,,,
4,COND1_WORD,147.0825115289772,26,1,road,,
6,RESP_Y,147.60626193799544,26,1,road,y,0.5237527340068482
1,FIXATION,147.6121812039928,26,1,road,y,0.5237527340068482
2,COND1_LABEL,150.625131348992,27,1,,,
4,COND1_WORD,152.13880676098051,27,1,alligator,,
6,RESP_Y,153.301175280998,27,1,alligator,y,1.1623551849916112
1,FIXATION,153.3070532809943,27,1,alligator,y,1.1623551849916112
3,COND2_LABEL,156.3205971919815,28,2,,,
5,COND2_WORD,157.83310836399323,28,2,otter,,
6,RESP_Y,158.43475065397797,28,2,otter,y,0.6016372830199543
1,FIXATION,158.440449436981,28,2,otter,y,0.6016372830199543
3,COND2_LABEL,161.45448171999305,29,2,,,
5,COND2_WORD,162.9820834529819,29,2,bus,,
7,RESP_N,163.64302371500526,29,2,bus,n,0.6609513060247991
1,FIXATION,163.65123665798455,29,2,bus,n,0.6609513060247991
3,COND2_LABEL,166.6635692169948,30,2,,,
5,COND2_WORD,168.18155234400183,30,2,tiger,,
6,RESP_Y,169.30038891898585,30,2,tiger,y,1.1188343690009788
1,FIXATION,169.3125985499937,30,2,tiger,y,1.1188343690009788
3,COND2_LABEL,172.3289643850003,31,2,,,
5,COND2_WORD,173.84668836399214,31,2,duck,,
6,RESP_Y,180.34660628100391,31,2,duck,y,6.499920725997072
1,FIXATION,180.36314601800404,31,2,duck,y,6.499920725997072
3,COND2_LABEL,183.38049700899865,32,2,,,
5,COND2_WORD,184.89617193999584,32,2,brick,,
7,RESP_N,186.7768026079866,32,2,brick,n,1.880632885004161
1,FIXATION,186.78553449097672,32,2,brick,n,1.880632885004161
2,COND1_LABEL,189.7973646329774,33,1,,,
4,COND1_WORD,191.3146211860003,33,1,swan,,
6,RESP_Y,191.8190834769921,33,1,swan,y,0.5048745030071586
1,FIXATION,191.83125319099054,33,1,swan,y,0.5048745030071586
2,COND1_LABEL,194.84753220400307,34,1,,,
4,COND1_WORD,196.36119007898378,34,1,alarm,,
6,RESP_Y,197.98164072597865,34,1,alarm,y,1.6204428630007897
1,FIXATION,197.99044991799747,34,1,alarm,y,1.6204428630007897
3,COND2_LABEL,201.00277893498424,35,2,,,
5,COND2_WORD,202.51645324900164,35,2,bench,,
7,RESP_N,203.15324217500165,35,2,bench,n,0.6372478969860822
1,FIXATION,203.16549188198405,35,2,bench,n,0.6372478969860822
2,COND1_LABEL,206.18109244998777,36,1,,,
4,COND1_WORD,207.69764851097716,36,1,vase,,
6,RESP_Y,208.13985800699447,36,1,vase,y,0.44220970099559054
1,FIXATION,208.1481848859985,36,1,vase,y,0.44220970099559054
3,COND2_LABEL,211.16422681999393,37,2,,,
5,COND2_WORD,212.67980171600357,37,2,comb,,
7,RESP_N,214.4730940760055,37,2,comb,n,1.7937039849930443
1,FIXATION,214.478780534002,37,2,comb,n,1.7937039849930443
3,COND2_LABEL,217.4974672299868,38,2,,,
5,COND2_WORD,219.0114625429851,38,2,button,,
7,RESP_N,219.6744131949963,38,2,button,n,0.6629489150072914
1,FIXATION,219.68318805500166,38,2,button,n,0.6629489150072914
3,COND2_LABEL,222.6977814709826,39,2,,,
5,COND2_WORD,224.2120161310013,39,2,button,,
7,RESP_N,225.09465981597896,39,2,button,n,0.8826399059907999
1,FIXATION,225.10368980298517,39,2,button,n,0.8826399059907999
2,COND1_LABEL,228.115727951983,40,1,,,
4,COND1_WORD,229.6288401389902,40,1,crane,,
6,RESP_Y,230.4437750579964,40,1,crane,y,0.8149232610012405
1,FIXATION,230.45281033500214,40,1,crane,y,0.8149232610012405
3,COND2_LABEL,233.46531551599037,41,2,,,
5,COND2_WORD,234.97780730898376,41,2,net,,
7,RESP_N,235.74701092697796,41,2,net,n,0.769195105007384
1,FIXATION,235.75266254099552,41,2,net,n,0.769195105007384
3,COND2_LABEL,238.76475562498672,42,2,,,
5,COND2_WORD,240.2784453749773,42,2,note,,
7,RESP_N,241.65481167897815,42,2,note,n,1.3763805550115649
1,FIXATION,241.66049896599725,42,2,note,n,1.3763805550115649
2,COND1_LABEL,244.67408470698865,43,1,,,
4,COND1_WORD,246.19259045500075,43,1,ape,,
