trigger_code,trigger_name,onset_time,trial_number,condition,word,response,rt
2,COND1_LABEL,0.017122500023106113,1,1,,,
4,COND1_WORD,1.5332979000231717,1,1,crayfish,,
6,RESP_Y,2.4145184000080917,1,1,crayfish,y,0.8812348000064958
3,COND2_LABEL,5.43331570000737,2,2,,,
5,COND2_WORD,6.949972200003685,2,2,deer,,
6,RESP_Y,8.191444700001739,2,2,deer,y,1.241498799994588
2,COND1_LABEL,11.200119300017832,3,1,,,
4,COND1_WORD,12.717388999997638,3,1,armadillo,,
6,RESP_Y,13.584474400006002,3,1,armadillo,y,0.86712599999737
2,COND1_LABEL,16.6007457000087,4,1,,,
4,COND1_WORD,18.117486300005112,4,1,button,,
7,RESP_N,18.84757390001323,4,1,button,n,0.7301030000089668
2,COND1_LABEL,21.850890500005335,5,1,,,
4,COND1_WORD,23.367517000006046,5,1,flashlight,,
7,RESP_N,24.462562000000617,5,1,flashlight,n,1.0950707999872975
2,COND1_LABEL,27.467732600023737,6,1,,,
4,COND1_WORD,28.98465640001814,6,1,flint,,
7,RESP_N,30.145586900005583,6,1,flint,n,1.1609445000067353
3,COND2_LABEL,33.15100720000919,7,2,,,
5,COND2_WORD,34.66787840001052,7,2,squid,,
6,RESP_Y,35.52747060000547,7,2,squid,y,0.8596187000221107
2,COND1_LABEL,38.534504300012486,8,1,,,
4,COND1_WORD,40.051112100016326,8,1,chair,,
6,RESP_Y,41.08054620001349,8,1,chair,y,1.0294508000079077
2,COND1_LABEL,44.08468470000662,9,1,,,
4,COND1_WORD,45.601279700000305,9,1,plant,,
6,RESP_Y,46.26143890002277,9,1,plant,y,0.6601854999898933
3,COND2_LABEL,49.26803690000088,10,2,,,
5,COND2_WORD,50.7847956000187,10,2,tortoise,,
6,RESP_Y,51.50249630000326,10,2,tortoise,y,0.7177170000213664
3,COND2_LABEL,54.51812079999945,11,2,,,
5,COND2_WORD,56.03474620002089,11,2,gravel,,
7,RESP_N,56.79350320002413,11,2,gravel,n,0.7587723000033293
3,COND2_LABEL,59.80174480000278,12,2,,,
5,COND2_WORD,61.31836060000933,12,2,garage,,
7,RESP_N,62.43060570000671,12,2,garage,n,1.1122580000082962
3,COND2_LABEL,65.4351686000009,13,2,,,
5,COND2_WORD,66.95189789999858,13,2,raccoon,,
6,RESP_Y,67.55157190002501,13,2,raccoon,y,0.5996882999897934
2,COND1_LABEL,70.56851010001265,14,1,,,
4,COND1_WORD,72.08481440000469,14,1,fuse,,
7,RESP_N,73.03552800000762,14,1,fuse,n,0.9507414000108838
3,COND2_LABEL,76.05191619999823,15,2,,,
5,COND2_WORD,77.56877270000405,15,2,rattlesnake,,
6,RESP_Y,78.82466330000898,15,2,rattlesnake,y,1.2559039000188932
3,COND2_LABEL,81.83514860001742,16,2,,,
5,COND2_WORD,83.35215069999686,16,2,shark,,
6,RESP_Y,84.13660600001458,16,2,shark,y,0.7844695999810938
2,COND1_LABEL,87.15206500000204,17,1,,,
4,COND1_WORD,88.66886950001935,17,1,chameleon,,
6,RESP_Y,90.5165554000123,17,1,chameleon,y,1.8477060000004712
2,COND1_LABEL,93.53558980001253,18,1,,,
4,COND1_WORD,95.05220610002289,18,1,bowl,,
7,RESP_N,96.12654580001254,18,1,bowl,n,1.074355500022648
2,COND1_LABEL,99.13547830001335,19,1,,,
4,COND1_WORD,100.65242980001494,19,1,anchor,,
6,RESP_Y,101.80753640001058,19,1,anchor,y,1.155132899992168
2,COND1_LABEL,104.81911920002312,20,1,,,
4,COND1_WORD,106.33557590001146,20,1,bicycle,,
7,RESP_N,107.24067450000439,20,1,bicycle,n,0.9051429000101052
3,COND2_LABEL,110.25250230001984,21,2,,,
5,COND2_WORD,111.7692402000248,21,2,rope,,
7,RESP_N,113.15167819999624,21,2,rope,n,1.3824515999876894
3,COND2_LABEL,116.16899840001133,22,2,,,
5,COND2_WORD,117.68650460001663,22,2,satellite,,
7,RESP_N,118.55456930000219,22,2,satellite,n,0.8680785000033211
2,COND1_LABEL,121.56943020000472,23,1,,,
4,COND1_WORD,123.08618280000519,23,1,fish,,
7,RESP_N,124.76360910001677,23,1,fish,n,1.677438999991864
2,COND1_LABEL,127.76968240001588,24,1,,,
4,COND1_WORD,129.2862082000065,24,1,duck,,
7,RESP_N,130.46663940002327,24,1,duck,n,1.180485699995188
2,COND1_LABEL,133.46957159999874,25,1,,,
4,COND1_WORD,134.9862549000245,25,1,fox,,
7,RESP_N,135.7235895000049,25,1,fox,n,0.7373498000088148
2,COND1_LABEL,138.73649540002225,26,1,,,
4,COND1_WORD,140.25298060002388,26,1,cargo,,
6,RESP_Y,141.42466780001996,26,1,cargo,y,1.1717013999877963
3,COND2_LABEL,144.4365955000103,27,2,,,
5,COND2_WORD,145.95332359999884,27,2,moth,,
7,RESP_N,146.97258240001975,27,2,moth,n,1.0192735999880824
2,COND1_LABEL,149.98661150000407,28,1,,,
4,COND1_WORD,151.50352210001438,28,1,heron,,
6,RESP_Y,152.45363329999964,28,1,heron,y,0.9501250000030268
2,COND1_LABEL,155.47000600001775,29,1,,,
4,COND1_WORD,156.98724100002437,29,1,camera,,
6,RESP_Y,157.93966640002327,29,1,camera,y,0.9524525000015274
3,COND2_LABEL,160.95344100001967,30,2,,,
5,COND2_WORD,162.47011190000921,30,2,robin,,
6,RESP_Y,163.80471110000508,30,2,robin,y,1.3346258999954443
3,COND2_LABEL,166.82048370002303,31,2,,,
5,COND2_WORD,168.33689490001416,31,2,phone,,
7,RESP_N,169.65672850000556,31,2,phone,n,1.3198611999978311
3,COND2_LABEL,172.6702590000059,32,2,,,
5,COND2_WORD,174.1867773999984,32,2,salmon,,
6,RESP_Y,174.93965370001388,32,2,salmon,y,0.7529226000187919
2,COND1_LABEL,177.95400040000095,33,1,,,
4,COND1_WORD,179.4706291000184,33,1,flag,,
6,RESP_Y,180.47365280002123,33,1,flag,y,1.0030368999869097
3,COND2_LABEL,183.48735130002024,34,2,,,
5,COND2_WORD,185.00409010000294,34,2,hose,,
7,RESP_N,185.94762300001457,34,2,hose,n,0.9435486999864224
2,COND1_LABEL,188.95430589999887,35,1,,,
4,COND1_WORD,190.47064949999913,35,1,fossil,,
7,RESP_N,191.93565290002152,35,1,fossil,n,1.4650296999898273
2,COND1_LABEL,194.95391090001795,36,1,,,
4,COND1_WORD,196.47103400001652,36,1,dingo,,
7,RESP_N,197.3006471999979,36,1,dingo,n,0.8296141999890096
2,COND1_LABEL,200.30460020000464,37,1,,,
4,COND1_WORD,201.82097420000355,37,1,bamboo,,
6,RESP_Y,203.04965739999898,37,1,bamboo,y,1.228726600005757
3,COND2_LABEL,206.05435930000385,38,2,,,
5,COND2_WORD,207.57098710001446,38,2,snipe,,
7,RESP_N,209.19567000001553,38,2,snipe,n,1.6246972000226378
3,COND2_LABEL,212.20435929999803,39,2,,,
5,COND2_WORD,213.72115270001814,39,2,tent,,
7,RESP_N,214.57267370002228,39,2,tent,n,0.851535399997374
2,COND1_LABEL,217.58840880001662,40,1,,,
4,COND1_WORD,219.104468000005,40,1,ant,,
6,RESP_Y,219.9866425000073,40,1,ant,y,0.8821893999993335
3,COND2_LABEL,223.00496530000237,41,2,,,
5,COND2_WORD,224.52152700000443,41,2,spider,,
6,RESP_Y,225.1277143000043,41,2,spider,y,0.606212599988794
2,COND1_LABEL,228.13823110001977,42,1,,,
4,COND1_WORD,229.654731800023,42,1,fern,,
7,RESP_N,230.78574490000028,42,1,fern,n,1.1310372999869287
3,COND2_LABEL,233.80473880001227,43,2,,,
5,COND2_WORD,235.32168630001252,43,2,koala,,
6,RESP_Y,235.9107785000233,43,2,koala,y,0.589106500003254
2,COND1_LABEL,238.92163470000378,44,1,,,
4,COND1_WORD,240.43870610001613,44,1,fish,,
7,RESP_N,241.48676520001027,44,1,fish,n,1.048073200014187
2,COND1_LABEL,244.50503050000407,45,1,,,
4,COND1_WORD,246.02169409999624,45,1,orangutan,,
6,RESP_Y,247.066716500005,45,1,orangutan,y,1.04506620002212
3,COND2_LABEL,250.07189270001254,46,2,,,
5,COND2_WORD,251.5886875000142,46,2,scarecrow,,
6,RESP_Y,252.27769010001794,46,2,scarecrow,y,0.6890179999754764
3,COND2_LABEL,255.28850220001186,47,2,,,
5,COND2_WORD,256.8051591000112,47,2,lens,,
7,RESP_N,257.46084549999796,47,2,lens,n,0.6556985999923199
2,COND1_LABEL,260.47227550001116,48,1,,,
4,COND1_WORD,261.9886233000143,48,1,chicken,,
6,RESP_Y,262.6447225000011,48,1,chicken,y,0.6561262999894097
3,COND2_LABEL,265.6553378000099,49,2,,,
5,COND2_WORD,267.17249060000177,49,2,knife,,
7,RESP_N,268.0637646999967,49,2,knife,n,0.8912878999835812
2,COND1_LABEL,271.0722926000017,50,1,,,
4,COND1_WORD,272.58890339999925,50,1,carpet,,
6,RESP_Y,273.4397416000138,50,1,carpet,y,0.8508641000080388
2,COND1_LABEL,276.45589010001277,51,1,,,
4,COND1_WORD,277.9722607000149,51,1,cobra,,
6,RESP_Y,279.06874550000066,51,1,cobra,y,1.0965119999891613
3,COND2_LABEL,282.07235140001285,52,2,,,
5,COND2_WORD,283.5893131000048,52,2,slug,,
7,RESP_N,284.71376010001404,52,2,slug,n,1.1244726000004448
3,COND2_LABEL,287.7226232000103,53,2,,,
5,COND2_WORD,289.2392280000204,53,2,lava,,
7,RESP_N,290.23079359999974,53,2,lava,n,0.9916035999776796
3,COND2_LABEL,293.23945829999866,54,2,,,
5,COND2_WORD,294.7560502999986,54,2,tool,,
7,RESP_N,295.71174660002,54,2,tool,n,0.9557114999915939
2,COND1_LABEL,298.7224715000193,55,1,,,
4,COND1_WORD,300.2393203000247,55,1,cable,,
6,RESP_Y,301.16786230000434,55,1,cable,y,0.9285679000022355
3,COND2_LABEL,304.17283970001154,56,2,,,
5,COND2_WORD,305.68957720001345,56,2,tick,,
6,RESP_Y,306.5727658000251,56,2,tick,y,0.8832153999828734
2,COND1_LABEL,309.5896216999972,57,1,,,
4,COND1_WORD,311.1061867000244,57,1,bird,,
