"trigger_code","trigger_name","onset_time","trial_number","condition","word","response","rt","remembered"
3,"COND2_LABEL",0.016525300219655,1,2,"","",NA,NA
51,"COND2_WORD",1.53331949934363,1,2,"sandstone","",NA,1
7,"RESP_N",2.24691469967365,1,2,"sandstone","n",0.713621100410819,NA
3,"COND2_LABEL",5.25011540018022,2,2,"","",NA,NA
50,"COND2_WORD",6.7668318990618,2,2,"oyster","",NA,0
6,"RESP_Y",7.47095870040357,2,2,"oyster","y",0.704154498875141,NA
2,"COND1_LABEL",10.4836157001555,3,1,"","",NA,NA
40,"COND1_WORD",12.0003784988075,3,1,"cork","",NA,0
7,"RESP_N",12.590907599777,3,1,"cork","n",0.590568700805306,NA
2,"COND1_LABEL",15.6005169004202,4,1,"","",NA,NA
41,"COND1_WORD",17.1172981988639,4,1,"compass","",NA,1
6,"RESP_Y",17.7028963994235,4,1,"compass","y",0.585639100521803,NA
2,"COND1_LABEL",20.717396998778,5,1,"","",NA,NA
40,"COND1_WORD",22.2341302987188,5,1,"carpet","",NA,0
6,"RESP_Y",22.8469922989607,5,1,"carpet","y",0.612872000783682,NA
2,"COND1_LABEL",25.8508930001408,6,1,"","",NA,NA
40,"COND1_WORD",27.3675935994834,6,1,"bucket","",NA,0
7,"RESP_N",28.142833000049,6,1,"bucket","n",0.775267399847507,NA
3,"COND2_LABEL",31.1511582992971,7,2,"","",NA,NA
51,"COND2_WORD",32.6678215991706,7,2,"tortoise","",NA,1
7,"RESP_N",33.2949851993471,7,2,"tortoise","n",0.627205299213529,NA
3,"COND2_LABEL",36.3014460001141,8,2,"","",NA,NA
51,"COND2_WORD",37.818091198802,8,2,"moth","",NA,1
6,"RESP_Y",38.4069322999567,8,2,"moth","y",0.588869199156761,NA
2,"COND1_LABEL",41.4187599997967,9,1,"","",NA,NA
41,"COND1_WORD",42.9357184004039,9,1,"bridge","",NA,1
7,"RESP_N",44.0949245989323,9,1,"bridge","n",1.15921900048852,NA
3,"COND2_LABEL",47.1025050003082,10,2,"","",NA,NA
51,"COND2_WORD",48.6190868988633,10,2,"squid","",NA,1
6,"RESP_Y",49.2469456996769,10,2,"squid","y",0.627901600673795,NA
3,"COND2_LABEL",52.2524528000504,11,2,"","",NA,NA
50,"COND2_WORD",53.7692869994789,11,2,"paper","",NA,0
7,"RESP_N",54.7668484989554,11,2,"paper","n",0.997591199353337,NA
3,"COND2_LABEL",57.7861509993672,12,2,"","",NA,NA
51,"COND2_WORD",59.3028718996793,12,2,"zebra","",NA,1
6,"RESP_Y",60.0948255993426,12,2,"zebra","y",0.791983000934124,NA
2,"COND1_LABEL",63.1029521003366,13,1,"","",NA,NA
40,"COND1_WORD",64.6196427997202,13,1,"book","",NA,0
7,"RESP_N",65.1188705991954,13,1,"book","n",0.499256398528814,NA
3,"COND2_LABEL",68.1365120001137,14,2,"","",NA,NA
51,"COND2_WORD",69.653411699459,14,2,"koala","",NA,1
6,"RESP_Y",70.26281609945,14,2,"koala","y",0.609446000307798,NA
3,"COND2_LABEL",73.2696899995208,15,2,"","",NA,NA
51,"COND2_WORD",74.7872361987829,15,2,"iguana","",NA,1
6,"RESP_Y",75.6227639988065,15,2,"iguana","y",0.83554570004344,NA
3,"COND2_LABEL",78.6366908997297,16,2,"","",NA,NA
51,"COND2_WORD",80.153627699241,16,2,"sponge","",NA,1
7,"RESP_N",80.7508010994643,16,2,"sponge","n",0.597213599830866,NA
3,"COND2_LABEL",83.7537660002708,17,2,"","",NA,NA
51,"COND2_WORD",85.2705297991633,17,2,"spider","",NA,1
6,"RESP_Y",85.7909941002727,17,2,"spider","y",0.520504500716925,NA
3,"COND2_LABEL",88.8039052989334,18,2,"","",NA,NA
51,"COND2_WORD",90.3209390994161,18,2,"pine","",NA,1
6,"RESP_Y",91.2547644991428,18,2,"pine","y",0.93383969925344,NA
3,"COND2_LABEL",94.270840799436,19,2,"","",NA,NA
50,"COND2_WORD",95.7875727992505,19,2,"lion","",NA,0
6,"RESP_Y",96.3587843999267,19,2,"lion","y",0.57122790068388,NA
2,"COND1_LABEL",99.370959399268,20,1,"","",NA,NA
41,"COND1_WORD",100.887550000101,20,1,"flint","",NA,1
7,"RESP_N",101.462822100148,20,1,"flint","n",0.575301300734282,NA
2,"COND1_LABEL",104.471353299916,21,1,"","",NA,NA
41,"COND1_WORD",105.988028299063,21,1,"fork","",NA,1
7,"RESP_N",106.814791999757,21,1,"fork","n",0.826790699735284,NA
3,"COND2_LABEL",109.821548098698,22,2,"","",NA,NA
51,"COND2_WORD",111.338162899017,22,2,"scaffold","",NA,1
7,"RESP_N",112.134800300002,22,2,"scaffold","n",0.796679001301527,NA
3,"COND2_LABEL",115.138333098963,23,2,"","",NA,NA
51,"COND2_WORD",116.65514029935,23,2,"slug","",NA,1
6,"RESP_Y",117.374726200476,23,2,"slug","y",0.71962740086019,NA
2,"COND1_LABEL",120.388581000268,24,1,"","",NA,NA
41,"COND1_WORD",121.90566559881,24,1,"canary","",NA,1
6,"RESP_Y",122.630690298975,24,1,"canary","y",0.725038299337029,NA
3,"COND2_LABEL",125.638812100515,25,2,"","",NA,NA
51,"COND2_WORD",127.155492300168,25,2,"mirror","",NA,1
7,"RESP_N",127.822728399187,25,2,"mirror","n",0.667277600616217,NA
3,"COND2_LABEL",130.838910099119,26,2,"","",NA,NA
51,"COND2_WORD",132.35623979941,26,2,"shoe","",NA,1
7,"RESP_N",132.966769900173,26,2,"shoe","n",0.610570000484586,NA
2,"COND1_LABEL",135.972545299679,27,1,"","",NA,NA
41,"COND1_WORD",137.489196399227,27,1,"broom","",NA,1
7,"RESP_N",138.566648699343,27,1,"broom","n",1.07749290019274,NA
3,"COND2_LABEL",141.572699699551,28,2,"","",NA,NA
50,"COND2_WORD",143.089589299634,28,2,"wallet","",NA,0
7,"RESP_N",143.790922299027,28,2,"wallet","n",0.701376501470804,NA
3,"COND2_LABEL",146.806330500171,29,2,"","",NA,NA
51,"COND2_WORD",148.322936799377,29,2,"parrot","",NA,1
