word;living;non_living;contains_a;no_a;condition
table;0;0;1;0;1
talent;0;0;1;0;1
afford;0;0;1;0;1
argue;0;0;1;0;1
artist;0;0;1;0;1
ocean;0;0;1;0;1
imagine;0;0;1;0;1
manage;0;0;1;0;1
quality;0;0;1;0;1
saddle;0;0;1;0;1
paper;0;0;1;0;1
diamond;0;0;1;0;1
target;0;0;1;0;1
habit;0;0;1;0;1
aspect;0;0;1;0;1
jacket;0;0;1;0;1
camera;0;0;1;0;1
fabric;0;0;1;0;1
aware;0;0;1;0;1
damage;0;0;1;0;1
palace;0;0;1;0;1
package;0;0;1;0;1
backup;0;0;1;0;1
zebra;0;0;1;0;1
alarm;0;0;1;0;1
behave;0;0;1;0;1
mountain;0;0;1;0;1
galaxy;0;0;1;0;1
vacuum;0;0;1;0;1
object;0;0;1;0;1
kernel;0;0;1;0;1
valley;0;0;1;0;1
award;0;0;1;0;1
language;0;0;1;0;1
natural;0;0;1;0;1
agenda;0;0;1;0;1
animal;0;0;1;0;1
wallet;0;0;1;0;1
jungle;0;0;1;0;1
water;0;0;1;0;1
radio;0;0;1;0;1
magnet;0;0;1;0;1
candle;0;0;1;0;1
hammer;0;0;1;0;1
ladder;0;0;1;0;1
arrive;0;0;1;0;1
admire;0;0;1;0;1
umbrella;0;0;1;0;1
factory;0;0;1;0;1
chair;0;0;1;0;1
blanket;0;0;1;0;1
laptop;0;0;1;0;1
napkin;0;0;1;0;1
sample;0;0;1;0;1
adapt;0;0;1;0;1
attack;0;0;1;0;1
yellow;0;0;1;0;1
energy;0;0;1;0;1
captain;0;0;1;0;1
kitchen;0;0;1;0;1
amount;0;0;1;0;1
balance;0;0;1;0;1
random;0;0;1;0;1
garage;0;0;1;0;1
appeal;0;0;1;0;1
cancel;0;0;1;0;1
debate;0;0;1;0;1
garden;0;0;1;0;1
island;0;0;1;0;1
banana;0;0;1;0;1
anchor;0;0;1;0;1
apple;0;0;1;0;1
planet;0;0;1;0;1
basket;0;0;1;0;1
wander;0;0;1;0;1
sky;0;0;0;1;1
wire;0;0;0;1;1
shoe;0;0;0;1;1
snow;0;0;0;1;1
coin;0;0;0;1;1
rope;0;0;0;1;1
chip;0;0;0;1;1
ice;0;0;0;1;1
phone;0;0;0;1;1
shelf;0;0;0;1;1
bin;0;0;0;1;1
dog;0;0;0;1;1
light;0;0;0;1;1
roof;0;0;0;1;1
wheel;0;0;0;1;1
tray;0;0;0;1;1
cloud;0;0;0;1;1
clock;0;0;0;1;1
bed;0;0;0;1;1
knife;0;0;0;1;1
fire;0;0;0;1;1
silk;0;0;0;1;1
disk;0;0;0;1;1
fork;0;0;0;1;1
floor;0;0;0;1;1
bill;0;0;0;1;1
note;0;0;0;1;1
glass;0;0;0;1;1
ring;0;0;0;1;1
pot;0;0;0;1;1
screen;0;0;0;1;1
cup;0;0;0;1;1
file;0;0;0;1;1
pen;0;0;0;1;1
mouse;0;0;0;1;1
pipe;0;0;0;1;1
pan;0;0;0;1;1
box;0;0;0;1;1
motor;0;0;0;1;1
iron;0;0;0;1;1
steel;0;0;0;1;1
brick;0;0;0;1;1
jug;0;0;0;1;1
bolt;0;0;0;1;1
tube;0;0;0;1;1
wall;0;0;0;1;1
book;0;0;0;1;1
silver;0;0;0;1;1
wool;0;0;0;1;1
chain;0;0;0;1;1
lid;0;0;0;1;1
